Year,Month,MurderRate,Arrested,DomesticViolence,Labor Force,Labor Force Participation Rate,Employed,Employment Participation Rate,Unemployed,Unemployment Rate,U.S. Rate,President,Govenor,dum_President,dum_Govenor
2001,1,42,27,7,"6,490,800",69.2,"6,179,500",65.9,"311,300",4.8,4.2,Republican,Republican,0,0
2001,2,27,14,1,"6,494,500",69.2,"6,173,500",65.8,"321,000",4.9,4.2,Republican,Republican,0,0
2001,3,37,29,4,"6,492,600",69.2,"6,165,500",65.7,"327,100",5.0,4.3,Republican,Republican,0,0
2001,4,59,41,6,"6,484,200",69.0,"6,154,800",65.5,"329,400",5.1,4.4,Republican,Republican,0,0
2001,5,42,23,3,"6,472,100",68.9,"6,142,300",65.3,"329,800",5.1,4.3,Republican,Republican,0,0
2001,6,69,46,4,"6,459,200",68.7,"6,128,500",65.2,"330,700",5.1,4.5,Republican,Republican,0,0
2001,7,78,54,3,"6,448,300",68.5,"6,114,100",65.0,"334,200",5.2,4.6,Republican,Republican,0,0
2001,8,58,36,1,"6,439,500",68.4,"6,097,500",64.8,"342,000",5.3,4.9,Republican,Republican,0,0
2001,9,71,46,9,"6,432,500",68.3,"6,078,200",64.5,"354,200",5.5,5.0,Republican,Republican,0,0
2001,10,71,42,6,"6,426,500",68.2,"6,057,800",64.2,"368,700",5.7,5.3,Republican,Republican,0,0
2001,11,64,34,5,"6,420,000",68.1,"6,037,100",64.0,"382,800",6.0,5.5,Republican,Republican,0,0
2001,12,49,33,7,"6,413,100",68.0,"6,018,000",63.8,"395,100",6.2,5.7,Republican,Republican,0,0
2002,1,45,32,1,"6,406,100",67.9,"6,001,300",63.6,"404,800",6.3,5.7,Republican,Republican,0,0
2002,2,32,18,1,"6,398,200",67.7,"5,986,000",63.4,"412,200",6.4,5.7,Republican,Republican,0,0
2002,3,42,29,3,"6,389,000",67.6,"5,971,300",63.2,"417,700",6.5,5.7,Republican,Republican,0,0
2002,4,43,33,1,"6,378,600",67.5,"5,957,700",63.0,"420,900",6.6,5.9,Republican,Republican,0,0
2002,5,51,36,5,"6,367,600",67.3,"5,945,800",62.9,"421,800",6.6,5.8,Republican,Republican,0,0
2002,6,66,42,2,"6,356,300",67.2,"5,935,700",62.7,"420,600",6.6,5.8,Republican,Republican,0,0
2002,7,68,40,1,"6,344,300",67.0,"5,926,400",62.6,"417,900",6.6,5.8,Republican,Republican,0,0
2002,8,77,53,4,"6,332,100",66.9,"5,917,300",62.5,"414,800",6.6,5.7,Republican,Republican,0,0
2002,9,67,38,4,"6,320,700",66.7,"5,908,200",62.3,"412,500",6.5,5.7,Republican,Republican,0,0
2002,10,57,26,4,"6,310,200",66.5,"5,897,900",62.2,"412,300",6.5,5.7,Republican,Republican,0,0
2002,11,39,25,4,"6,301,500",66.4,"5,888,100",62.1,"413,400",6.6,5.9,Republican,Republican,0,0
2002,12,70,45,6,"6,294,200",66.3,"5,879,900",61.9,"414,300",6.6,6.0,Republican,Republican,0,0
2003,1,39,27,7,"6,289,500",66.2,"5,874,200",61.9,"415,200",6.6,5.8,Republican,Democrat,0,1
2003,2,31,13,2,"6,288,900",66.2,"5,872,400",61.8,"416,500",6.6,5.9,Republican,Democrat,0,1
2003,3,52,36,1,"6,291,900",66.2,"5,873,400",61.8,"418,500",6.7,5.9,Republican,Democrat,0,1
2003,4,57,36,8,"6,296,700",66.3,"5,874,100",61.8,"422,600",6.7,6.0,Republican,Democrat,0,1
2003,5,59,33,4,"6,300,800",66.3,"5,872,000",61.8,"428,800",6.8,6.1,Republican,Democrat,0,1
2003,7,68,47,6,"6,304,700",66.2,"5,865,100",61.6,"439,600",7.0,6.2,Republican,Democrat,0,1
2003,8,48,26,1,"6,304,400",66.2,"5,864,500",61.6,"439,900",7.0,6.1,Republican,Democrat,0,1
2003,9,51,30,3,"6,302,900",66.2,"5,867,700",61.6,"435,200",6.9,6.1,Republican,Democrat,0,1
2003,10,53,34,6,"6,301,600",66.1,"5,874,600",61.6,"427,000",6.8,6.0,Republican,Democrat,0,1
2003,11,51,29,5,"6,301,500",66.1,"5,883,500",61.7,"418,100",6.6,5.8,Republican,Democrat,0,1
2003,12,43,27,1,"6,302,800",66.1,"5,892,100",61.8,"410,600",6.5,5.7,Republican,Democrat,0,1
2004,2,36,21,2,"6,304,600",66.1,"5,903,500",61.9,"401,100",6.4,5.6,Republican,Democrat,0,1
2004,3,43,29,1,"6,306,200",66.1,"5,907,600",61.9,"398,500",6.3,5.8,Republican,Democrat,0,1
2004,5,34,28,5,"6,311,100",66.1,"5,918,500",62.0,"392,500",6.2,5.6,Republican,Democrat,0,1
2004,6,46,32,2,"6,314,900",66.1,"5,925,300",62.0,"389,500",6.2,5.6,Republican,Democrat,0,1
2004,7,53,40,1,"6,320,500",66.1,"5,932,800",62.1,"387,700",6.1,5.5,Republican,Democrat,0,1
2004,8,53,33,5,"6,327,700",66.2,"5,940,900",62.1,"386,800",6.1,5.4,Republican,Democrat,0,1
2004,9,33,22,2,"6,335,500",66.2,"5,949,100",62.2,"386,400",6.1,5.4,Republican,Democrat,0,1
2004,10,34,17,2,"6,342,600",66.2,"5,956,600",62.2,"386,000",6.1,5.5,Republican,Democrat,0,1
2004,11,32,15,2,"6,348,500",66.3,"5,963,700",62.3,"384,800",6.1,5.4,Republican,Democrat,0,1
2004,12,31,20,1,"6,354,400",66.3,"5,971,200",62.3,"383,200",6.0,5.4,Republican,Democrat,0,1
2005,1,20,14,2,"6,360,700",66.4,"5,979,300",62.4,"381,300",6.0,5.3,Republican,Democrat,0,1
2005,2,24,17,3,"6,366,700",66.4,"5,987,400",62.4,"379,300",6.0,5.4,Republican,Democrat,0,1
2005,3,37,23,5,"6,372,100",66.4,"5,995,800",62.5,"376,300",5.9,5.2,Republican,Democrat,0,1
2005,4,36,21,2,"6,378,200",66.5,"6,005,800",62.6,"372,400",5.8,5.2,Republican,Democrat,0,1
2005,5,43,26,3,"6,385,800",66.5,"6,017,800",62.7,"368,000",5.8,5.1,Republican,Democrat,0,1
2005,6,50,26,4,"6,394,100",66.6,"6,030,400",62.8,"363,700",5.7,5.0,Republican,Democrat,0,1
2005,7,58,36,5,"6,402,400",66.6,"6,041,500",62.9,"360,900",5.6,5.0,Republican,Democrat,0,1
2005,8,53,31,5,"6,410,100",66.7,"6,050,600",62.9,"359,400",5.6,4.9,Republican,Democrat,0,1
2005,9,32,19,1,"6,416,600",66.7,"6,058,900",63.0,"357,700",5.6,5.0,Republican,Democrat,0,1
2005,10,41,29,4,"6,422,100",66.6,"6,068,500",63.0,"353,600",5.5,5.0,Republican,Democrat,0,1
2005,11,29,17,2,"6,427,800",66.7,"6,080,700",63.1,"347,100",5.4,5.0,Republican,Democrat,0,1
2005,12,30,13,2,"6,433,900",66.7,"6,095,600",63.2,"338,300",5.3,4.9,Republican,Democrat,0,1
2006,1,29,20,1,"6,441,400",66.7,"6,113,700",63.3,"327,700",5.1,4.7,Republican,Democrat,0,1
2006,2,17,12,1,"6,451,000",66.8,"6,134,400",63.5,"316,600",4.9,4.8,Republican,Democrat,0,1
2006,3,34,16,2,"6,463,400",66.9,"6,156,200",63.7,"307,200",4.8,4.7,Republican,Democrat,0,1
2006,4,37,17,2,"6,478,400",67.0,"6,177,700",63.9,"300,800",4.6,4.7,Republican,Democrat,0,1
2006,5,42,22,4,"6,495,500",67.2,"6,199,200",64.1,"296,300",4.6,4.6,Republican,Democrat,0,1
2006,6,45,25,3,"6,513,400",67.4,"6,220,800",64.3,"292,500",4.5,4.6,Republican,Democrat,0,1
2006,7,66,35,2,"6,532,200",67.5,"6,243,700",64.5,"288,500",4.4,4.7,Republican,Democrat,0,1
2006,8,32,24,3,"6,552,500",67.7,"6,267,000",64.7,"285,500",4.4,4.7,Republican,Democrat,0,1
2006,9,57,26,1,"6,573,300",67.9,"6,288,100",64.9,"285,200",4.3,4.5,Republican,Democrat,0,1
2006,10,41,28,1,"6,592,300",68.0,"6,305,200",65.0,"287,100",4.4,4.4,Republican,Democrat,0,1
2006,11,43,26,1,"6,607,100",68.1,"6,316,900",65.1,"290,200",4.4,4.5,Republican,Democrat,0,1
2007,1,26,17,5,"6,620,600",68.2,"6,322,300",65.1,"298,300",4.5,4.6,Republican,Democrat,0,1
2007,2,22,13,6,"6,623,000",68.2,"6,319,800",65.0,"303,200",4.6,4.5,Republican,Democrat,0,1
2007,3,41,22,5,"6,625,200",68.1,"6,317,500",65.0,"307,700",4.6,4.4,Republican,Democrat,0,1
2007,4,36,18,3,"6,629,400",68.1,"6,317,800",64.9,"311,600",4.7,4.5,Republican,Democrat,0,1
2007,5,34,22,4,"6,637,800",68.2,"6,321,300",64.9,"316,500",4.8,4.4,Republican,Democrat,0,1
2007,6,47,25,4,"6,650,900",68.3,"6,327,700",65.0,"323,200",4.9,4.6,Republican,Democrat,0,1
2007,7,44,25,7,"6,667,100",68.4,"6,335,700",65.0,"331,400",5.0,4.7,Republican,Democrat,0,1
2007,8,47,20,2,"6,684,600",68.5,"6,343,700",65.1,"340,900",5.1,4.6,Republican,Democrat,0,1
2007,9,50,31,8,"6,700,900",68.7,"6,351,100",65.1,"349,900",5.2,4.7,Republican,Democrat,0,1
2007,10,38,22,2,"6,713,600",68.8,"6,356,000",65.1,"357,700",5.3,4.7,Republican,Democrat,0,1
2007,11,29,16,2,"6,721,000",68.8,"6,358,200",65.1,"362,700",5.4,4.7,Republican,Democrat,0,1
2007,12,34,19,1,"6,722,700",68.8,"6,358,200",65.0,"364,500",5.4,5.0,Republican,Democrat,0,1
2008,1,34,20,2,"6,719,500",68.7,"6,353,900",65.0,"365,600",5.4,5.0,Democrat,Democrat,1,1
2008,2,20,12,5,"6,712,100",68.6,"6,344,100",64.8,"368,000",5.5,4.9,Democrat,Democrat,1,1
2008,3,33,17,2,"6,702,700",68.5,"6,328,900",64.6,"373,800",5.6,5.1,Democrat,Democrat,1,1
2008,4,47,32,5,"6,692,000",68.3,"6,308,500",64.4,"383,500",5.7,5.0,Democrat,Democrat,1,1
2008,5,42,25,3,"6,680,100",68.2,"6,284,200",64.1,"396,000",5.9,5.4,Democrat,Democrat,1,1
2008,6,52,27,3,"6,667,200",68.0,"6,258,100",63.8,"409,100",6.1,5.6,Democrat,Democrat,1,1
2008,7,62,28,3,"6,652,600",67.8,"6,231,400",63.5,"421,200",6.3,5.8,Democrat,Democrat,1,1
2008,8,48,26,4,"6,636,600",67.6,"6,205,100",63.2,"431,500",6.5,6.1,Democrat,Democrat,1,1
2008,9,55,29,3,"6,621,400",67.4,"6,179,100",62.9,"442,300",6.7,6.1,Democrat,Democrat,1,1
2008,10,50,30,7,"6,610,200",67.2,"6,152,200",62.6,"458,000",6.9,6.5,Democrat,Democrat,1,1
2008,12,30,16,1,"6,604,000",67.1,"6,090,200",61.9,"513,700",7.8,7.3,Democrat,Democrat,1,1
2009,1,25,15,4,"6,608,300",67.1,"6,057,500",61.5,"550,900",8.3,7.8,Democrat,Democrat,1,1
2009,2,26,16,2,"6,616,900",67.2,"6,027,300",61.2,"589,500",8.9,8.3,Democrat,Democrat,1,1
2009,3,20,9,3,"6,628,300",67.2,"6,003,100",60.9,"625,200",9.4,8.7,Democrat,Democrat,1,1
2009,4,40,23,2,"6,639,200",67.3,"5,985,400",60.7,"653,900",9.8,9.0,Democrat,Democrat,1,1
2009,5,47,24,5,"6,645,500",67.3,"5,970,500",60.5,"675,000",10.2,9.4,Democrat,Democrat,1,1
2009,6,45,20,1,"6,644,800",67.3,"5,955,200",60.3,"689,600",10.4,9.5,Democrat,Democrat,1,1
2009,7,57,25,6,"6,636,500",67.2,"5,937,000",60.1,"699,400",10.5,9.5,Democrat,Democrat,1,1
2009,8,48,30,4,"6,622,400",67.0,"5,915,100",59.8,"707,300",10.7,9.6,Democrat,Democrat,1,1
2009,9,43,21,5,"6,607,900",66.8,"5,892,300",59.6,"715,600",10.8,9.8,Democrat,Democrat,1,1
2009,10,37,17,1,"6,597,900",66.7,"5,873,100",59.3,"724,800",11.0,10.0,Democrat,Democrat,1,1
2009,11,37,18,4,"6,598,200",66.6,"5,863,000",59.2,"735,200",11.1,9.9,Democrat,Democrat,1,1
2009,12,36,13,1,"6,610,300",66.7,"5,865,200",59.2,"745,000",11.3,9.9,Democrat,Democrat,1,1
2010,1,22,13,3,"6,629,300",66.9,"5,879,100",59.3,"750,200",11.3,9.8,Democrat,Democrat,1,1
2010,3,31,16,1,"6,655,400",67.1,"5,917,700",59.7,"737,700",11.1,9.9,Democrat,Democrat,1,1
