year,R ,K
0,5.21,2.36
1,4.99,3.14
2,4.44,2.97
3,4.44,3.55
4,3.72,3.72
5,3.89,3.85
6,3.61,3.71
7,3.52,3.58
8,3.38,3.65
9,3.54,3.78
10,3.83,3.87
11,4.51,3.99
12,4.53,3.93
13,4.04,3.76
14,3.86,3.93
15,3.81,3.76
16,3.56,3.82
17,3.59,3.48
18,3.63,2.92
19,3.88,3.06
20,4.36,2.94
21,4.85,2.83
22,4.87,2.81
23,4.81,2.85
24,4.76,2.7
25,5.13,2.71
26,4.64,2.75
27,4.75,2.79
28,4.73,2.88
29,5.19,2.84
30,5.55,3.21
31,4.81,3.19
32,4.91,3.19
33,4.48,3.04
34,4.91,3.45
35,4.9,3.26
36,5.19,3.33
37,4.87,3.63
38,4.89,3.41
39,4.82,3.45
40,4.68,3.66
41,4.49,3.55
42,4.08,3.4
43,3.91,3.45
44,4.17,3.3
45,4.18,3.27
46,4.01,3.9
47,4.36,3.68
48,4.58,3.64
49,4.61,3.61
50,4.85,3.86
51,4.55,3.77
52,4.18,4.19
53,4.61,4.12
54,4.38,4.13
55,4.48,4.38
56,4.45,4.64
57,4.31,4.84
58,4.28,4.95
59,4.38,5.09
60,4.31,5.18
61,4.53,5.23
62,4.46,5.42
63,3.95,5.8
64,4.04,5.91
65,3.99,5.94
66,3.99,5.82
67,3.77,5.99
68,3.42,5.89
69,4.07,5.77
70,4.34,5.75
71,3.89,5.41
72,3.69,5.57
73,4.21,5.24
74,4.12,5.01
75,4.21,4.98
76,3.99,4.83
77,4.47,5.16
78,4.1,4.77
79,4.46,4.77
80,4.29,4.8
81,4,4.75
82,4.3,5.04
83,4.31,5.15
84,4.26,5.34
85,4.33,5.34
86,4.41,5.87
87,4.72,5.96
88,4.14,5.56
89,4.13,5.61
90,4.26,5.67
91,4.31,5.8
92,4.12,5.59
93,4.6,5.8
94,4.92,6.18
95,4.85,6.3
96,5.04,6.46
97,4.77,6.61
98,4.79,6.56
99,5.08,6.41
100,5.14,6.45
101,4.78,6.67
102,4.62,6.47
103,4.73,6.34
104,4.81,6.55
105,4.59,6.3
106,4.86,6.52
107,4.8,6.62
108,4.65,6.77
109,4.61,6.91
110,4.38,7.06
111,4.28,7.1
112,4.32,7.5
113,4.17,7.55
114,4.07,7.7
115,4.25,7.71
116,4.48,8.03
