Date,Labor Force,Labor Force Participation Rate,Employed,Employment Participation Rate,Unemployed,Unemployment Rate,U.S. Rate
20-Mar,"6,279,900",62.9,"6,001,400",60.1,"278,500",4.4,4.5
20-Feb,"6,336,300",63.4,"6,112,800",61.2,"223,500",3.5,3.8
20-Jan,"6,312,700",63.2,"6,059,300",60.6,"253,300",4,4
19-Dec,"6,377,200",63.8,"6,156,800",61.6,"220,400",3.5,3.4
19-Nov,"6,416,300",64.2,"6,201,200",62,"215,200",3.4,3.3
19-Oct,"6,443,300",64.4,"6,218,600",62.2,"224,700",3.5,3.3
19-Sep,"6,426,600",64.3,"6,203,700",62,"222,900",3.5,3.3
19-Aug,"6,459,300",64.6,"6,201,500",62,"257,800",4,3.8
19-Jul,"6,534,700",65.4,"6,257,800",62.6,"276,900",4.2,4
19-Jun,"6,517,400",65.2,"6,249,800",62.5,"267,600",4.1,3.8
19-May,"6,416,400",64.2,"6,193,900",61.9,"222,500",3.5,3.4
19-Apr,"6,413,200",64.1,"6,179,200",61.8,"234,000",3.6,3.3
19-Mar,"6,458,700",64.6,"6,172,400",61.7,"286,300",4.4,3.9
19-Feb,"6,458,400",64.5,"6,155,000",61.5,"303,300",4.7,4.1
19-Jan,"6,437,800",64.3,"6,099,200",60.9,"338,600",5.3,4.4
18-Dec,"6,449,000",64.4,"6,164,800",61.6,"284,100",4.4,3.7
18-Nov,"6,465,800",64.6,"6,207,000",62,"258,900",4,3.5
18-Oct,"6,471,500",64.6,"6,204,900",61.9,"266,600",4.1,3.5
18-Sep,"6,434,400",64.2,"6,183,900",61.7,"250,600",3.9,3.6
18-Aug,"6,444,500",64.3,"6,165,900",61.6,"278,600",4.3,3.9
18-Jul,"6,550,700",65.4,"6,257,800",62.5,"292,900",4.5,4.1
18-Jun,"6,549,600",65.4,"6,243,400",62.3,"306,300",4.7,4.2
18-May,"6,444,500",64.3,"6,207,900",62,"236,600",3.7,3.6
18-Apr,"6,431,500",64.2,"6,183,900",61.7,"247,700",3.9,3.7
18-Mar,"6,457,900",64.4,"6,176,900",61.6,"281,000",4.4,4.1
18-Feb,"6,465,100",64.5,"6,148,200",61.3,"316,900",4.9,4.4
