Date,Labor Force,Labor Force Participation Rate,Employed,Employment Participation Rate,Unemployed,Unemployment Rate,U.S. Rate
Mar-20,"6,327,900",63.4,"6,035,600",60.4,"292,300",4.6,4.4
Feb-20,"6,398,700",64.1,"6,179,900",61.9,"218,800",3.4,3.5
Jan-20,"6,417,200",64.2,"6,189,400",61.9,"227,800",3.5,3.6
Dec-19,"6,433,000",64.4,"6,196,800",62.0,"236,200",3.7,3.5
Nov-19,"6,433,200",64.4,"6,197,600",62.0,"235,600",3.7,3.5
Oct-19,"6,435,500",64.4,"6,199,300",62.0,"236,200",3.7,3.6
Sep-19,"6,439,700",64.4,"6,199,400",62.0,"240,300",3.7,3.5
Aug-19,"6,442,900",64.4,"6,197,000",62.0,"245,900",3.8,3.7
Jul-19,"6,444,800",64.5,"6,192,700",61.9,"252,200",3.9,3.7
Jun-19,"6,445,200",64.5,"6,186,700",61.9,"258,400",4.0,3.7
May-19,"6,447,000",64.5,"6,182,400",61.8,"264,600",4.1,3.6
Apr-19,"6,452,200",64.5,"6,181,200",61.8,"271,000",4.2,3.6
Mar-19,"6,460,200",64.6,"6,183,400",61.8,"276,800",4.3,3.8
Feb-19,"6,469,300",64.6,"6,188,000",61.8,"281,300",4.3,3.8
Jan-19,"6,475,800",64.7,"6,192,400",61.9,"283,300",4.4,4.0
Dec-18,"6,476,500",64.7,"6,194,300",61.9,"282,200",4.4,3.9
Nov-18,"6,472,200",64.6,"6,193,200",61.8,"279,000",4.3,3.7
Oct-18,"6,465,800",64.6,"6,189,700",61.8,"276,100",4.3,3.8
Sep-18,"6,460,200",64.5,"6,185,700",61.8,"274,500",4.2,3.7
Aug-18,"6,457,100",64.5,"6,182,600",61.7,"274,500",4.3,3.8
Jul-18,"6,457,500",64.5,"6,181,700",61.7,"275,800",4.3,3.8
Jun-18,"6,460,600",64.5,"6,182,600",61.7,"278,000",4.3,4.0
May-18,"6,463,600",64.5,"6,184,100",61.7,"279,500",4.3,3.8
Apr-18,"6,465,200",64.5,"6,184,600",61.7,"280,600",4.3,4.0
Mar-18,"6,464,600",64.5,"6,182,800",61.7,"281,800",4.4,4.0
Feb-18,"6,463,100",64.5,"6,179,400",61.6,"283,700",4.4,4.1
